Tên khách hàng (*),Số điện thoại (*),Mã số thuế,Email,Địa chỉ,Hạn mức nợ (VNĐ),Số dư nợ đầu kỳ (VNĐ),Kênh nhận HĐ (QR/EMAIL/ZALO)
Hoàng Trọng Hoàng,0910000014,,khachhang.00014@gmail.com,"Số 15 Cách Mạng Tháng 8, Khánh Hòa",11000000,0,ZALO
Vũ Ngọc Lan,0910000015,0300000015,khachhang.00015@gmail.com,"Số 16 Nguyễn Trãi, Hà Nội",12500000,0,QR
Bùi Hữu Nghĩa,0910000016,,khachhang.00016@gmail.com,"Số 17 Hoàng Diệu, Đà Nẵng",14000000,0,EMAIL
Ngô Kim Thảo,0910000017,,khachhang.00017@gmail.com,"Số 18 Điện Biên Phủ, Cần Thơ",15500000,0,ZALO
Đinh Văn Tùng,0910000018,,khachhang.00018@gmail.com,"Số 19 Võ Văn Kiệt, Đồng Nai",17000000,0,QR
Nguyễn Quang Bình,0910000019,,khachhang.00019@gmail.com,"Số 20 Lê Lợi, Thái Nguyên",18500000,0,EMAIL
Phạm Anh Hiếu,0910000020,0300000020,khachhang.00020@gmail.com,"Số 21 Giải Phóng, Nam Định",5000000,2000000,ZALO
Phan Gia Khoa,0910000021,,khachhang.00021@gmail.com,"Số 22 Lý Thường Kiệt, Thanh Hóa",6500000,0,QR
Đặng Đình Nam,0910000022,,khachhang.00022@gmail.com,"Số 23 Quang Trung, Lâm Đồng",8000000,0,EMAIL
Hồ Thanh Sơn,0910000023,,khachhang.00023@gmail.com,"Số 24 Trần Hưng Đạo, TP. Hồ Chí Minh",9500000,0,ZALO
Lý Hồng Trung,0910000024,,khachhang.00024@gmail.com,"Số 25 Cầu Giấy, Hải Phòng",11000000,0,QR
Lâm Mạnh Yến,0910000025,0300000025,khachhang.00025@gmail.com,"Số 26 Pasteur, Bình Dương",12500000,0,EMAIL
Lê Đức Hải,0910000026,,khachhang.00026@gmail.com,"Số 27 Bạch Đằng, Bắc Ninh",14000000,0,ZALO
Huỳnh Tuấn Hương,0910000027,,khachhang.00027@gmail.com,"Số 28 Hai Bà Trưng, Quảng Ninh",15500000,0,QR
Võ Bảo Mai,0910000028,,khachhang.00028@gmail.com,"Số 29 Nguyễn Huệ, Nghệ An",17000000,2000000,EMAIL
Đỗ Thị Phúc,0910000029,,khachhang.00029@gmail.com,"Số 30 Cách Mạng Tháng 8, Khánh Hòa",18500000,0,ZALO
Dương Minh Thu,0910000030,0300000030,khachhang.00030@gmail.com,"Số 31 Nguyễn Trãi, Hà Nội",5000000,0,QR
Đoàn Xuân Vũ,0910000031,,khachhang.00031@gmail.com,"Số 32 Hoàng Diệu, Đà Nẵng",6500000,0,EMAIL
Trần Trọng Giang,0910000032,,khachhang.00032@gmail.com,"Số 33 Điện Biên Phủ, Cần Thơ",8000000,0,ZALO
Hoàng Ngọc Huy,0910000033,,khachhang.00033@gmail.com,"Số 34 Võ Văn Kiệt, Đồng Nai",9500000,0,QR
Vũ Hữu Linh,0910000034,,khachhang.00034@gmail.com,"Số 35 Lê Lợi, Thái Nguyên",11000000,0,EMAIL
Bùi Kim Nhung,0910000035,0300000035,khachhang.00035@gmail.com,"Số 36 Giải Phóng, Nam Định",12500000,0,ZALO
Ngô Văn Thắng,0910000036,,khachhang.00036@gmail.com,"Số 37 Lý Thường Kiệt, Thanh Hóa",14000000,2000000,QR
Đinh Quang Vân,0910000037,,khachhang.00037@gmail.com,"Số 38 Quang Trung, Lâm Đồng",15500000,0,EMAIL
Nguyễn Anh Cường,0910000038,,khachhang.00038@gmail.com,"Số 39 Trần Hưng Đạo, TP. Hồ Chí Minh",17000000,0,ZALO
Phạm Gia Hoài,0910000039,,khachhang.00039@gmail.com,"Số 40 Cầu Giấy, Hải Phòng",18500000,0,QR
Phan Đình Kiên,0910000040,0300000040,khachhang.00040@gmail.com,"Số 41 Pasteur, Bình Dương",5000000,0,EMAIL
Đặng Thanh Nga,0910000041,,khachhang.00041@gmail.com,"Số 42 Bạch Đằng, Bắc Ninh",6500000,0,ZALO
Hồ Hồng Tâm,0910000042,,khachhang.00042@gmail.com,"Số 43 Hai Bà Trưng, Quảng Ninh",8000000,0,QR
Lý Mạnh Tuấn,0910000043,,khachhang.00043@gmail.com,"Số 44 Nguyễn Huệ, Nghệ An",9500000,0,EMAIL
Lâm Đức An,0910000044,,khachhang.00044@gmail.com,"Số 45 Cách Mạng Tháng 8, Khánh Hòa",11000000,2000000,ZALO
Lê Tuấn Hạnh,0910000045,0300000045,khachhang.00045@gmail.com,"Số 46 Nguyễn Trãi, Hà Nội",12500000,0,QR
Huỳnh Bảo Khánh,0910000046,,khachhang.00046@gmail.com,"Số 47 Hoàng Diệu, Đà Nẵng",14000000,0,EMAIL
Võ Thị Minh,0910000047,,khachhang.00047@gmail.com,"Số 48 Điện Biên Phủ, Cần Thơ",15500000,0,ZALO
Đỗ Minh Quân,0910000048,,khachhang.00048@gmail.com,"Số 49 Võ Văn Kiệt, Đồng Nai",17000000,0,QR
Dương Xuân Trang,0910000049,,khachhang.00049@gmail.com,"Số 50 Lê Lợi, Thái Nguyên",18500000,0,EMAIL
Đoàn Trọng Vy,0910000050,0300000050,khachhang.00050@gmail.com,"Số 51 Giải Phóng, Nam Định",5000000,0,ZALO
Trần Ngọc Hà,0910000051,,khachhang.00051@gmail.com,"Số 52 Lý Thường Kiệt, Thanh Hóa",6500000,0,QR
Hoàng Hữu Hùng,0910000052,,khachhang.00052@gmail.com,"Số 53 Quang Trung, Lâm Đồng",8000000,2000000,EMAIL
Vũ Kim Long,0910000053,,khachhang.00053@gmail.com,"Số 54 Trần Hưng Đạo, TP. Hồ Chí Minh",9500000,0,ZALO
Bùi Văn Phong,0910000054,,khachhang.00054@gmail.com,"Số 55 Cầu Giấy, Hải Phòng",11000000,0,QR
Ngô Quang Thịnh,0910000055,0300000055,khachhang.00055@gmail.com,"Số 56 Pasteur, Bình Dương",12500000,0,EMAIL
Đinh Anh Vinh,0910000056,,khachhang.00056@gmail.com,"Số 57 Bạch Đằng, Bắc Ninh",14000000,0,ZALO
Nguyễn Gia Dũng,0910000057,,khachhang.00057@gmail.com,"Số 58 Hai Bà Trưng, Quảng Ninh",15500000,0,QR
Phạm Đình Hoàng,0910000058,,khachhang.00058@gmail.com,"Số 59 Nguyễn Huệ, Nghệ An",17000000,0,EMAIL
Phan Thanh Lan,0910000059,,khachhang.00059@gmail.com,"Số 60 Cách Mạng Tháng 8, Khánh Hòa",18500000,0,ZALO
Đặng Hồng Nghĩa,0910000060,0300000060,khachhang.00060@gmail.com,"Số 61 Nguyễn Trãi, Hà Nội",5000000,2000000,QR
Hồ Mạnh Thảo,0910000061,,khachhang.00061@gmail.com,"Số 62 Hoàng Diệu, Đà Nẵng",6500000,0,EMAIL
Lý Đức Tùng,0910000062,,khachhang.00062@gmail.com,"Số 63 Điện Biên Phủ, Cần Thơ",8000000,0,ZALO
Lâm Tuấn Bình,0910000063,,khachhang.00063@gmail.com,"Số 64 Võ Văn Kiệt, Đồng Nai",9500000,0,QR
Lê Bảo Hiếu,0910000064,,khachhang.00064@gmail.com,"Số 65 Lê Lợi, Thái Nguyên",11000000,0,EMAIL
Huỳnh Thị Khoa,0910000065,0300000065,khachhang.00065@gmail.com,"Số 66 Giải Phóng, Nam Định",12500000,0,ZALO
Võ Minh Nam,0910000066,,khachhang.00066@gmail.com,"Số 67 Lý Thường Kiệt, Thanh Hóa",14000000,0,QR
Đỗ Xuân Sơn,0910000067,,khachhang.00067@gmail.com,"Số 68 Quang Trung, Lâm Đồng",15500000,0,EMAIL
Dương Trọng Trung,0910000068,,khachhang.00068@gmail.com,"Số 69 Trần Hưng Đạo, TP. Hồ Chí Minh",17000000,2000000,ZALO
Đoàn Ngọc Yến,0910000069,,khachhang.00069@gmail.com,"Số 70 Cầu Giấy, Hải Phòng",18500000,0,QR
Trần Hữu Hải,0910000070,0300000070,khachhang.00070@gmail.com,"Số 71 Pasteur, Bình Dương",5000000,0,EMAIL
Hoàng Kim Hương,0910000071,,khachhang.00071@gmail.com,"Số 72 Bạch Đằng, Bắc Ninh",6500000,0,ZALO
Vũ Văn Mai,0910000072,,khachhang.00072@gmail.com,"Số 73 Hai Bà Trưng, Quảng Ninh",8000000,0,QR
Bùi Quang Phúc,0910000073,,khachhang.00073@gmail.com,"Số 74 Nguyễn Huệ, Nghệ An",9500000,0,EMAIL
Ngô Anh Thu,0910000074,,khachhang.00074@gmail.com,"Số 75 Cách Mạng Tháng 8, Khánh Hòa",11000000,0,ZALO
Đinh Gia Vũ,0910000075,0300000075,khachhang.00075@gmail.com,"Số 76 Nguyễn Trãi, Hà Nội",12500000,0,QR
Nguyễn Đình Giang,0910000076,,khachhang.00076@gmail.com,"Số 77 Hoàng Diệu, Đà Nẵng",14000000,2000000,EMAIL
Phạm Thanh Huy,0910000077,,khachhang.00077@gmail.com,"Số 78 Điện Biên Phủ, Cần Thơ",15500000,0,ZALO
Phan Hồng Linh,0910000078,,khachhang.00078@gmail.com,"Số 79 Võ Văn Kiệt, Đồng Nai",17000000,0,QR
Đặng Mạnh Nhung,0910000079,,khachhang.00079@gmail.com,"Số 80 Lê Lợi, Thái Nguyên",18500000,0,EMAIL
Hồ Đức Thắng,0910000080,0300000080,khachhang.00080@gmail.com,"Số 81 Giải Phóng, Nam Định",5000000,0,ZALO
Lý Tuấn Vân,0910000081,,khachhang.00081@gmail.com,"Số 82 Lý Thường Kiệt, Thanh Hóa",6500000,0,QR
Lâm Bảo Cường,0910000082,,khachhang.00082@gmail.com,"Số 83 Quang Trung, Lâm Đồng",8000000,0,EMAIL
Lê Thị Hoài,0910000083,,khachhang.00083@gmail.com,"Số 84 Trần Hưng Đạo, TP. Hồ Chí Minh",9500000,0,ZALO
Huỳnh Minh Kiên,0910000084,,khachhang.00084@gmail.com,"Số 85 Cầu Giấy, Hải Phòng",11000000,2000000,QR
Võ Xuân Nga,0910000085,0300000085,khachhang.00085@gmail.com,"Số 86 Pasteur, Bình Dương",12500000,0,EMAIL
Đỗ Trọng Tâm,0910000086,,khachhang.00086@gmail.com,"Số 87 Bạch Đằng, Bắc Ninh",14000000,0,ZALO
Dương Ngọc Tuấn,0910000087,,khachhang.00087@gmail.com,"Số 88 Hai Bà Trưng, Quảng Ninh",15500000,0,QR
Đoàn Hữu An,0910000088,,khachhang.00088@gmail.com,"Số 89 Nguyễn Huệ, Nghệ An",17000000,0,EMAIL
Trần Kim Hạnh,0910000089,,khachhang.00089@gmail.com,"Số 90 Cách Mạng Tháng 8, Khánh Hòa",18500000,0,ZALO
Hoàng Văn Khánh,0910000090,0300000090,khachhang.00090@gmail.com,"Số 91 Nguyễn Trãi, Hà Nội",5000000,0,QR
Vũ Quang Minh,0910000091,,khachhang.00091@gmail.com,"Số 92 Hoàng Diệu, Đà Nẵng",6500000,0,EMAIL
Bùi Anh Quân,0910000092,,khachhang.00092@gmail.com,"Số 93 Điện Biên Phủ, Cần Thơ",8000000,2000000,ZALO
Ngô Gia Trang,0910000093,,khachhang.00093@gmail.com,"Số 94 Võ Văn Kiệt, Đồng Nai",9500000,0,QR
Đinh Đình Vy,0910000094,,khachhang.00094@gmail.com,"Số 95 Lê Lợi, Thái Nguyên",11000000,0,EMAIL
Nguyễn Thanh Hà,0910000095,0300000095,khachhang.00095@gmail.com,"Số 96 Giải Phóng, Nam Định",12500000,0,ZALO
Phạm Hồng Hùng,0910000096,,khachhang.00096@gmail.com,"Số 97 Lý Thường Kiệt, Thanh Hóa",14000000,0,QR
Phan Mạnh Long,0910000097,,khachhang.00097@gmail.com,"Số 98 Quang Trung, Lâm Đồng",15500000,0,EMAIL
Đặng Đức Phong,0910000098,,khachhang.00098@gmail.com,"Số 99 Trần Hưng Đạo, TP. Hồ Chí Minh",17000000,0,ZALO
Hồ Tuấn Thịnh,0910000099,,khachhang.00099@gmail.com,"Số 100 Cầu Giấy, Hải Phòng",18500000,0,QR
Lý Bảo Vinh,0910000100,0300000100,khachhang.00100@gmail.com,"Số 101 Pasteur, Bình Dương",5000000,2000000,EMAIL
Lâm Thị Dũng,0910000101,,khachhang.00101@gmail.com,"Số 102 Bạch Đằng, Bắc Ninh",6500000,0,ZALO
Lê Minh Hoàng,0910000102,,khachhang.00102@gmail.com,"Số 103 Hai Bà Trưng, Quảng Ninh",8000000,0,QR
Huỳnh Xuân Lan,0910000103,,khachhang.00103@gmail.com,"Số 104 Nguyễn Huệ, Nghệ An",9500000,0,EMAIL
Võ Trọng Nghĩa,0910000104,,khachhang.00104@gmail.com,"Số 105 Cách Mạng Tháng 8, Khánh Hòa",11000000,0,ZALO
Đỗ Ngọc Thảo,0910000105,0300000105,khachhang.00105@gmail.com,"Số 106 Nguyễn Trãi, Hà Nội",12500000,0,QR
Dương Hữu Tùng,0910000106,,khachhang.00106@gmail.com,"Số 107 Hoàng Diệu, Đà Nẵng",14000000,0,EMAIL
Đoàn Kim Bình,0910000107,,khachhang.00107@gmail.com,"Số 108 Điện Biên Phủ, Cần Thơ",15500000,0,ZALO
Trần Văn Hiếu,0910000108,,khachhang.00108@gmail.com,"Số 109 Võ Văn Kiệt, Đồng Nai",17000000,2000000,QR
Hoàng Quang Khoa,0910000109,,khachhang.00109@gmail.com,"Số 110 Lê Lợi, Thái Nguyên",18500000,0,EMAIL
Vũ Anh Nam,0910000110,0300000110,khachhang.00110@gmail.com,"Số 111 Giải Phóng, Nam Định",5000000,0,ZALO
Bùi Gia Sơn,0910000111,,khachhang.00111@gmail.com,"Số 112 Lý Thường Kiệt, Thanh Hóa",6500000,0,QR
Ngô Đình Trung,0910000112,,khachhang.00112@gmail.com,"Số 113 Quang Trung, Lâm Đồng",8000000,0,EMAIL
Đinh Thanh Yến,0910000113,,khachhang.00113@gmail.com,"Số 114 Trần Hưng Đạo, TP. Hồ Chí Minh",9500000,0,ZALO
Nguyễn Hồng Hải,0910000114,,khachhang.00114@gmail.com,"Số 115 Cầu Giấy, Hải Phòng",11000000,0,QR
Phạm Mạnh Hương,0910000115,0300000115,khachhang.00115@gmail.com,"Số 116 Pasteur, Bình Dương",12500000,0,EMAIL
Phan Đức Mai,0910000116,,khachhang.00116@gmail.com,"Số 117 Bạch Đằng, Bắc Ninh",14000000,2000000,ZALO
Đặng Tuấn Phúc,0910000117,,khachhang.00117@gmail.com,"Số 118 Hai Bà Trưng, Quảng Ninh",15500000,0,QR
Hồ Bảo Thu,0910000118,,khachhang.00118@gmail.com,"Số 119 Nguyễn Huệ, Nghệ An",17000000,0,EMAIL
Lý Thị Vũ,0910000119,,khachhang.00119@gmail.com,"Số 120 Cách Mạng Tháng 8, Khánh Hòa",18500000,0,ZALO
Lâm Minh Giang,0910000120,0300000120,khachhang.00120@gmail.com,"Số 121 Nguyễn Trãi, Hà Nội",5000000,0,QR
Lê Xuân Huy,0910000121,,khachhang.00121@gmail.com,"Số 122 Hoàng Diệu, Đà Nẵng",6500000,0,EMAIL
Huỳnh Trọng Linh,0910000122,,khachhang.00122@gmail.com,"Số 123 Điện Biên Phủ, Cần Thơ",8000000,0,ZALO
Võ Ngọc Nhung,0910000123,,khachhang.00123@gmail.com,"Số 124 Võ Văn Kiệt, Đồng Nai",9500000,0,QR
Đỗ Hữu Thắng,0910000124,,khachhang.00124@gmail.com,"Số 125 Lê Lợi, Thái Nguyên",11000000,2000000,EMAIL
Dương Kim Vân,0910000125,0300000125,khachhang.00125@gmail.com,"Số 126 Giải Phóng, Nam Định",12500000,0,ZALO
Đoàn Văn Cường,0910000126,,khachhang.00126@gmail.com,"Số 127 Lý Thường Kiệt, Thanh Hóa",14000000,0,QR
Trần Quang Hoài,0910000127,,khachhang.00127@gmail.com,"Số 128 Quang Trung, Lâm Đồng",15500000,0,EMAIL
Hoàng Anh Kiên,0910000128,,khachhang.00128@gmail.com,"Số 129 Trần Hưng Đạo, TP. Hồ Chí Minh",17000000,0,ZALO
Vũ Gia Nga,0910000129,,khachhang.00129@gmail.com,"Số 130 Cầu Giấy, Hải Phòng",18500000,0,QR
Bùi Đình Tâm,0910000130,0300000130,khachhang.00130@gmail.com,"Số 131 Pasteur, Bình Dương",5000000,0,EMAIL
Ngô Thanh Tuấn,0910000131,,khachhang.00131@gmail.com,"Số 132 Bạch Đằng, Bắc Ninh",6500000,0,ZALO
Đinh Hồng An,0910000132,,khachhang.00132@gmail.com,"Số 133 Hai Bà Trưng, Quảng Ninh",8000000,2000000,QR
Nguyễn Mạnh Hạnh,0910000133,,khachhang.00133@gmail.com,"Số 134 Nguyễn Huệ, Nghệ An",9500000,0,EMAIL
Phạm Đức Khánh,0910000134,,khachhang.00134@gmail.com,"Số 135 Cách Mạng Tháng 8, Khánh Hòa",11000000,0,ZALO
Phan Tuấn Minh,0910000135,0300000135,khachhang.00135@gmail.com,"Số 136 Nguyễn Trãi, Hà Nội",12500000,0,QR
Đặng Bảo Quân,0910000136,,khachhang.00136@gmail.com,"Số 137 Hoàng Diệu, Đà Nẵng",14000000,0,EMAIL
Hồ Thị Trang,0910000137,,khachhang.00137@gmail.com,"Số 138 Điện Biên Phủ, Cần Thơ",15500000,0,ZALO
Lý Minh Vy,0910000138,,khachhang.00138@gmail.com,"Số 139 Võ Văn Kiệt, Đồng Nai",17000000,0,QR
Lâm Xuân Hà,0910000139,,khachhang.00139@gmail.com,"Số 140 Lê Lợi, Thái Nguyên",18500000,0,EMAIL
Lê Trọng Hùng,0910000140,0300000140,khachhang.00140@gmail.com,"Số 141 Giải Phóng, Nam Định",5000000,2000000,ZALO
Huỳnh Ngọc Long,0910000141,,khachhang.00141@gmail.com,"Số 142 Lý Thường Kiệt, Thanh Hóa",6500000,0,QR
Võ Hữu Phong,0910000142,,khachhang.00142@gmail.com,"Số 143 Quang Trung, Lâm Đồng",8000000,0,EMAIL
Đỗ Kim Thịnh,0910000143,,khachhang.00143@gmail.com,"Số 144 Trần Hưng Đạo, TP. Hồ Chí Minh",9500000,0,ZALO
Dương Văn Vinh,0910000144,,khachhang.00144@gmail.com,"Số 145 Cầu Giấy, Hải Phòng",11000000,0,QR
Đoàn Quang Dũng,0910000145,0300000145,khachhang.00145@gmail.com,"Số 146 Pasteur, Bình Dương",12500000,0,EMAIL
Trần Anh Hoàng,0910000146,,khachhang.00146@gmail.com,"Số 147 Bạch Đằng, Bắc Ninh",14000000,0,ZALO
Hoàng Gia Lan,0910000147,,khachhang.00147@gmail.com,"Số 148 Hai Bà Trưng, Quảng Ninh",15500000,0,QR
Vũ Đình Nghĩa,0910000148,,khachhang.00148@gmail.com,"Số 149 Nguyễn Huệ, Nghệ An",17000000,2000000,EMAIL
Bùi Thanh Thảo,0910000149,,khachhang.00149@gmail.com,"Số 150 Cách Mạng Tháng 8, Khánh Hòa",18500000,0,ZALO
Ngô Hồng Tùng,0910000150,0300000150,khachhang.00150@gmail.com,"Số 151 Nguyễn Trãi, Hà Nội",5000000,0,QR
Đinh Mạnh Bình,0910000151,,khachhang.00151@gmail.com,"Số 152 Hoàng Diệu, Đà Nẵng",6500000,0,EMAIL
Nguyễn Đức Hiếu,0910000152,,khachhang.00152@gmail.com,"Số 153 Điện Biên Phủ, Cần Thơ",8000000,0,ZALO
Phạm Tuấn Khoa,0910000153,,khachhang.00153@gmail.com,"Số 154 Võ Văn Kiệt, Đồng Nai",9500000,0,QR
Phan Bảo Nam,0910000154,,khachhang.00154@gmail.com,"Số 155 Lê Lợi, Thái Nguyên",11000000,0,EMAIL
Đặng Thị Sơn,0910000155,0300000155,khachhang.00155@gmail.com,"Số 156 Giải Phóng, Nam Định",12500000,0,ZALO
Hồ Minh Trung,0910000156,,khachhang.00156@gmail.com,"Số 157 Lý Thường Kiệt, Thanh Hóa",14000000,2000000,QR
Lý Xuân Yến,0910000157,,khachhang.00157@gmail.com,"Số 158 Quang Trung, Lâm Đồng",15500000,0,EMAIL
Lâm Trọng Hải,0910000158,,khachhang.00158@gmail.com,"Số 159 Trần Hưng Đạo, TP. Hồ Chí Minh",17000000,0,ZALO
Lê Ngọc Hương,0910000159,,khachhang.00159@gmail.com,"Số 160 Cầu Giấy, Hải Phòng",18500000,0,QR
Huỳnh Hữu Mai,0910000160,0300000160,khachhang.00160@gmail.com,"Số 161 Pasteur, Bình Dương",5000000,0,EMAIL
Võ Kim Phúc,0910000161,,khachhang.00161@gmail.com,"Số 162 Bạch Đằng, Bắc Ninh",6500000,0,ZALO
Đỗ Văn Thu,0910000162,,khachhang.00162@gmail.com,"Số 163 Hai Bà Trưng, Quảng Ninh",8000000,0,QR
Dương Quang Vũ,0910000163,,khachhang.00163@gmail.com,"Số 164 Nguyễn Huệ, Nghệ An",9500000,0,EMAIL
Đoàn Anh Giang,0910000164,,khachhang.00164@gmail.com,"Số 165 Cách Mạng Tháng 8, Khánh Hòa",11000000,2000000,ZALO
Trần Gia Huy,0910000165,0300000165,khachhang.00165@gmail.com,"Số 166 Nguyễn Trãi, Hà Nội",12500000,0,QR
Hoàng Đình Linh,0910000166,,khachhang.00166@gmail.com,"Số 167 Hoàng Diệu, Đà Nẵng",14000000,0,EMAIL
Vũ Thanh Nhung,0910000167,,khachhang.00167@gmail.com,"Số 168 Điện Biên Phủ, Cần Thơ",15500000,0,ZALO
Bùi Hồng Thắng,0910000168,,khachhang.00168@gmail.com,"Số 169 Võ Văn Kiệt, Đồng Nai",17000000,0,QR
Ngô Mạnh Vân,0910000169,,khachhang.00169@gmail.com,"Số 170 Lê Lợi, Thái Nguyên",18500000,0,EMAIL
Đinh Đức Cường,0910000170,0300000170,khachhang.00170@gmail.com,"Số 171 Giải Phóng, Nam Định",5000000,0,ZALO
Nguyễn Tuấn Hoài,0910000171,,khachhang.00171@gmail.com,"Số 172 Lý Thường Kiệt, Thanh Hóa",6500000,0,QR
Phạm Bảo Kiên,0910000172,,khachhang.00172@gmail.com,"Số 173 Quang Trung, Lâm Đồng",8000000,2000000,EMAIL
Phan Thị Nga,0910000173,,khachhang.00173@gmail.com,"Số 174 Trần Hưng Đạo, TP. Hồ Chí Minh",9500000,0,ZALO
Đặng Minh Tâm,0910000174,,khachhang.00174@gmail.com,"Số 175 Cầu Giấy, Hải Phòng",11000000,0,QR
Hồ Xuân Tuấn,0910000175,0300000175,khachhang.00175@gmail.com,"Số 176 Pasteur, Bình Dương",12500000,0,EMAIL
Lý Trọng An,0910000176,,khachhang.00176@gmail.com,"Số 177 Bạch Đằng, Bắc Ninh",14000000,0,ZALO
Lâm Ngọc Hạnh,0910000177,,khachhang.00177@gmail.com,"Số 178 Hai Bà Trưng, Quảng Ninh",15500000,0,QR
Lê Hữu Khánh,0910000178,,khachhang.00178@gmail.com,"Số 179 Nguyễn Huệ, Nghệ An",17000000,0,EMAIL
Huỳnh Kim Minh,0910000179,,khachhang.00179@gmail.com,"Số 180 Cách Mạng Tháng 8, Khánh Hòa",18500000,0,ZALO
Võ Văn Quân,0910000180,0300000180,khachhang.00180@gmail.com,"Số 181 Nguyễn Trãi, Hà Nội",5000000,2000000,QR
Đỗ Quang Trang,0910000181,,khachhang.00181@gmail.com,"Số 182 Hoàng Diệu, Đà Nẵng",6500000,0,EMAIL
Dương Anh Vy,0910000182,,khachhang.00182@gmail.com,"Số 183 Điện Biên Phủ, Cần Thơ",8000000,0,ZALO
Đoàn Gia Hà,0910000183,,khachhang.00183@gmail.com,"Số 184 Võ Văn Kiệt, Đồng Nai",9500000,0,QR
Trần Đình Hùng,0910000184,,khachhang.00184@gmail.com,"Số 185 Lê Lợi, Thái Nguyên",11000000,0,EMAIL
Hoàng Thanh Long,0910000185,0300000185,khachhang.00185@gmail.com,"Số 186 Giải Phóng, Nam Định",12500000,0,ZALO
Vũ Hồng Phong,0910000186,,khachhang.00186@gmail.com,"Số 187 Lý Thường Kiệt, Thanh Hóa",14000000,0,QR
Bùi Mạnh Thịnh,0910000187,,khachhang.00187@gmail.com,"Số 188 Quang Trung, Lâm Đồng",15500000,0,EMAIL
Ngô Đức Vinh,0910000188,,khachhang.00188@gmail.com,"Số 189 Trần Hưng Đạo, TP. Hồ Chí Minh",17000000,2000000,ZALO
Đinh Tuấn Dũng,0910000189,,khachhang.00189@gmail.com,"Số 190 Cầu Giấy, Hải Phòng",18500000,0,QR
Nguyễn Bảo Hoàng,0910000190,0300000190,khachhang.00190@gmail.com,"Số 191 Pasteur, Bình Dương",5000000,0,EMAIL
Phạm Thị Lan,0910000191,,khachhang.00191@gmail.com,"Số 192 Bạch Đằng, Bắc Ninh",6500000,0,ZALO
Phan Minh Nghĩa,0910000192,,khachhang.00192@gmail.com,"Số 193 Hai Bà Trưng, Quảng Ninh",8000000,0,QR
Đặng Xuân Thảo,0910000193,,khachhang.00193@gmail.com,"Số 194 Nguyễn Huệ, Nghệ An",9500000,0,EMAIL
Hồ Trọng Tùng,0910000194,,khachhang.00194@gmail.com,"Số 195 Cách Mạng Tháng 8, Khánh Hòa",11000000,0,ZALO
Lý Ngọc Bình,0910000195,0300000195,khachhang.00195@gmail.com,"Số 196 Nguyễn Trãi, Hà Nội",12500000,0,QR
Lâm Hữu Hiếu,0910000196,,khachhang.00196@gmail.com,"Số 197 Hoàng Diệu, Đà Nẵng",14000000,2000000,EMAIL
Lê Kim Khoa,0910000197,,khachhang.00197@gmail.com,"Số 198 Điện Biên Phủ, Cần Thơ",15500000,0,ZALO
Huỳnh Văn Nam,0910000198,,khachhang.00198@gmail.com,"Số 199 Võ Văn Kiệt, Đồng Nai",17000000,0,QR
Võ Quang Sơn,0910000199,,khachhang.00199@gmail.com,"Số 200 Lê Lợi, Thái Nguyên",18500000,0,EMAIL
Đỗ Anh Trung,0910000200,0300000200,khachhang.00200@gmail.com,"Số 201 Giải Phóng, Nam Định",5000000,0,ZALO
Dương Gia Yến,0910000201,,khachhang.00201@gmail.com,"Số 202 Lý Thường Kiệt, Thanh Hóa",6500000,0,QR
